start time;end time;elapsed utime;
380759384;380759629;245;
380760388;380760633;245;
380761391;380761636;245;
380762394;380762639;245;
380763397;380763642;245;
380764399;380764644;245;
380765403;380765648;245;
380766405;380766650;245;
380767409;380767654;245;
380768413;380768658;245;
380769416;380769661;245;
380770421;380770666;245;
380771425;380771670;245;
380772429;380772674;245;
380773431;380773676;245;
380774433;380774678;245;
380775437;380775682;245;
380776440;380776685;245;
380777444;380777689;245;
380778447;380778692;245;
380779450;380779695;245;
380780452;380780697;245;
380781454;380781699;245;
380782456;380782701;245;
380783459;380783704;245;
380784465;380784710;245;
380785469;380785714;245;
380786473;380786718;245;
380787475;380787720;245;
380788477;380788722;245;
380789480;380789725;245;
380790483;380790728;245;
380791487;380791732;245;
380792491;380792736;245;
380793494;380793739;245;
380794496;380794741;245;
380795500;380795745;245;
380796503;380796748;245;
380797506;380797751;245;
380798509;380798754;245;
380799513;380799758;245;
380800518;380800763;245;
380801523;380801768;245;
380802525;380802770;245;
380803530;380803775;245;
380804532;380804777;245;
380805535;380805780;245;
380806537;380806782;245;
380807540;380807785;245;
380808543;380808788;245;
380809546;380809791;245;
380810551;380810796;245;
380811557;380811802;245;
380812562;380812807;245;
380813564;380813809;245;
380814568;380814813;245;
380815572;380815817;245;
380816576;380816821;245;
380817581;380817826;245;
380818585;380818830;245;
380819589;380819834;245;
380820603;380820848;245;
380821608;380821853;245;
380822611;380822856;245;
380823614;380823859;245;
380824617;380824862;245;
380825619;380825864;245;
380826621;380826866;245;
380827624;380827869;245;
380828628;380828873;245;
380829632;380829877;245;
380830637;380830882;245;
380831641;380831886;245;
380832644;380832889;245;
380833709;380833954;245;
380834714;380834959;245;
380835719;380835964;245;
380836722;380836967;245;
380837725;380837970;245;
380838728;380838973;245;
380839730;380839975;245;
380840732;380840977;245;
380841735;380841980;245;
380842739;380842984;245;
380843741;380843986;245;
380844744;380844989;245;
380845747;380845992;245;
380846750;380846995;245;
380847754;380847999;245;
380848757;380849002;245;
380849760;380850005;245;
380850762;380851007;245;
380851765;380852010;245;
380852768;380853013;245;
380853770;380854015;245;
380854773;380855018;245;
380855776;380856021;245;
380856780;380857025;245;
380857783;380858028;245;
380858785;380859030;245;
380859788;380860033;245;
380860792;380861037;245;
380861795;380862040;245;
380862797;380863042;245;
380863800;380864045;245;
380864803;380865048;245;
380865806;380866051;245;
380866810;380867055;245;
380867814;380868059;245;
380868816;380869052;236;
380869819;380870055;236;
380870822;380871038;216;
380871826;380872042;216;
380872829;380873045;216;
380873832;380874048;216;
380874835;380875051;216;
380875838;380876054;216;
380876840;380877056;216;
380877843;380878059;216;
380878846;380879062;216;
380879849;380880065;216;
380880853;380881089;236;
380881856;380882092;236;
380882859;380883095;236;
380883863;380884099;236;
380884866;380885102;236;
380885869;380886105;236;
380886872;380887108;236;
380887876;380888112;236;
380888880;380889116;236;
380889883;380890128;245;
380890886;380891131;245;
380891889;380892134;245;
380892891;380893136;245;
380893895;380894140;245;
380894897;380895142;245;
380895899;380896144;245;
380896902;380897147;245;
380897904;380898149;245;
380898908;380899153;245;
380899911;380900156;245;
380900914;380901159;245;
380901917;380902162;245;
380902919;380903164;245;
380903922;380904167;245;
380904925;380905170;245;
380905929;380906174;245;
380906932;380907177;245;
380907936;380908181;245;
380908940;380909185;245;
380909944;380910189;245;
380910948;380911193;245;
380911950;380912195;245;
380912953;380913198;245;
380913956;380914201;245;
380914960;380915216;256;
380915962;380916217;255;
380916965;380917220;255;
380917968;380918223;255;
380918971;380919247;276;
380919976;380920242;266;
380920979;380921238;259;
380921981;380922241;260;
380922983;380923242;259;
380923985;380924244;259;
380924990;380925249;259;
380925993;380926252;259;
380926996;380927256;260;
380928000;380928261;261;
380929003;380929265;262;
380930007;380930275;268;
380931010;380931265;255;
380932015;380932256;241;
380933016;380933230;214;
380934017;380934230;213;
380935020;380935234;214;
380936022;380936234;212;
380937023;380937235;212;
380938025;380938237;212;
380939027;380939240;213;
380940030;380940243;213;
380941034;380941248;214;
380942035;380942247;212;
380943040;380943293;253;
380944045;380944301;256;
380945048;380945301;253;
380946050;380946303;253;
380947052;380947308;256;
380948054;380948307;253;
380949057;380949310;253;
380950061;380950318;257;
380951064;380951318;254;
380952068;380952318;250;
380953071;380953316;245;
380954075;380954311;236;
380955079;380955316;237;
380956083;380956321;238;
380957084;380957322;238;
380958086;380958322;236;
380959090;380959327;237;
380960091;380960324;233;
380961093;380961326;233;
380962095;380962333;238;
380963096;380963341;245;
380964099;380964359;260;
380965102;380965362;260;
380966104;380966364;260;
380967106;380967366;260;
380968110;380968371;261;
380969111;380969366;255;
380970114;380970374;260;
380971116;380971372;256;
380972117;380972379;262;
380973121;380973383;262;
380974122;380974363;241;
380975125;380975359;234;
380976128;380976371;243;
380977132;380977372;240;
380978136;380978374;238;
380979140;380979379;239;
380980142;380980379;237;
380981145;380981389;244;
380982147;380982396;249;
380983149;380983386;237;
380984151;380984394;243;
380985155;380985392;237;
380986157;380986394;237;
380987159;380987403;244;
380988160;380988397;237;
380989162;380989399;237;
380990165;380990409;244;
380991168;380991412;244;
380992170;380992414;244;
380993173;380993409;236;
380994177;380994420;243;
380995180;380995438;258;
380996183;380996449;266;
380997185;380997453;268;
380998245;380998481;236;
380999248;380999484;236;
381000251;381000496;245;
381001253;381001489;236;
381002258;381002494;236;
381003261;381003497;236;
381004264;381004500;236;
381005267;381005496;229;
381006269;381006485;216;
381007271;381007487;216;
381008275;381008491;216;
381009278;381009494;216;
381010282;381010498;216;
381011286;381011502;216;
381012289;381012505;216;
381013294;381013510;216;
381014297;381014513;216;
381015299;381015515;216;
381016302;381016538;236;
381017304;381017540;236;
381018306;381018542;236;
381019308;381019544;236;
381020310;381020546;236;
381021312;381021548;236;
381022317;381022553;236;
381023321;381023557;236;
381024324;381024560;236;
381025327;381025572;245;
381026330;381026575;245;
381027333;381027578;245;
381028336;381028581;245;
381029338;381029583;245;
381030341;381030586;245;
381031346;381031591;245;
381032349;381032594;245;
381033352;381033597;245;
